,concept,count_scheme,list_scheme,count_notation,list_notation
1,Case_management,2,"HOPWAServices, PATHServices",2,"2, 6"
2,Child_care,4,"HOPWAServices, SSVFFinancialAssistance, SSVFSubType5, SSVFSubType4",3,"10, 12, 3"
3,Community_mental_health,2,"PATHReferral, PATHServices",2,"1, 4"
4,Criminal_justice_legal_services,4,"HOPWAServices, HOPWAServices, RHYServices, RHYServices",2,"4, 7"
5,Deceased,2,"HousingAssessmentAtExit, LivingSituationOptionList",2,"10, 24"
6,Employment_and_training_services,2,"HOPWAServices, SSVFSubType3",2,"2, 6"
7,Fiduciary_and_representative_payee_services,2,"SSVFSubType5, SSVFSubType4",2,"4, 6"
8,Health_care_services,2,"SSVFSubType4, SSVFSubType3",2,"1, 4"
9,Health_medical_care,2,"HOPWAServices, RHYServices",2,"14, 8"
10,Housing_counseling,2,"SSVFSubType5, SSVFSubType4",2,"11, 13"
11,Income_support_services,2,"SSVFSubType5, SSVFSubType4",2,"3, 5"
12,Legal_services_child_support,2,"SSVFSubType5, SSVFSubType4",2,"5, 7"
13,Legal_services_eviction_prevention,2,"SSVFSubType5, SSVFSubType4",2,"6, 8"
14,Legal_services_other,2,"SSVFSubType5, SSVFSubType4",2,"11, 9"
15,Legal_services_outstanding_fines_and_penalties,2,"SSVFSubType5, SSVFSubType4",2,"7, 9"
16,Legal_services_restore_acquire_driver_s_license,2,"SSVFSubType5, SSVFSubType4",2,"10, 8"
17,Life_skills_training,2,"HOPWAServices, RHYServices",2,"8, 9"
18,Other,10,"TCellSourceViralLoadSource, CMExitReason, VoucherTracking, NA, ReasonNoServices, LivingSituationOptionList, ProjectType, SourceType, ExportDirective, ExportPeriodType",7,"12, 13, 17, 3, 4, 6, 7"
19,Personal_financial_planning_services,2,"SSVFSubType5, SSVFSubType4",2,"1, 3"
20,Safe_Haven,2,"LivingSituationOptionList, ProjectType",2,"118, 8"
21,Security_deposits,2,"HOPWAFinancialAssistance, PATHServices",2,"11, 2"
22,Substance_use_treatment,2,"PATHReferral, PATHServices",2,"2, 5"
23,Transportation_services,2,"SSVFSubType5, SSVFSubType4",2,"2, 4"
